name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Josh Winder,Winder, Josh,680739,MIN,R,81.0,135,1114,CUKC,Curveball,51.3,1.8
 Duane Underwood Jr.,Underwood Jr., Duane,621249,PIT,R,82.7,134,1004,CUKC,Curveball,51.2,7.4
 Zach Davies,Davies, Zach,605200,AZ,R,74.7,132,2292,CUKC,Curveball,62.3,10.7
 Matt Strahm,Strahm, Matt,621381,BOS,L,82.7,130,764,CUKC,Curveball,40.6,6.2
 Daniel Lynch,Lynch, Daniel,663738,KC,L,81.1,124,2435,CUKC,Curveball,47.0,1.9
 Tarik Skubal,Skubal, Tarik,669373,DET,L,76.9,123,1914,CUKC,Curveball,55.3,6.4
 Tyler Beede,Beede, Tyler,595881,PIT,R,79.1,123,1072,CUKC,Curveball,56.4,8.7
 Jake Bird,Bird, Jake,656234,COL,R,81.7,113,745,CUKC,Curveball,50.0,14.4
 Tommy Henry,Henry, Tommy,674072,AZ,L,80.6,113,773,CUKC,Curveball,50.5,6.8
 Tyler Wells,Wells, Tyler,669330,BAL,R,76.3,112,1649,CUKC,Curveball,58.2,9.3
 Justin Dunn,Dunn, Justin,643290,CIN,R,79.8,111,540,CUKC,Curveball,43.3,14.8
 Davis Martin,Martin, Davis,663436,CWS,R,79.7,110,1044,CUKC,Curveball,54.6,8.1
 Jack Flaherty,Flaherty, Jack,656427,STL,R,77.2,109,662,CUKC,Curveball,56.6,13.6
 Mike Baumann,Baumann, Mike,657508,BAL,R,84.0,108,580,CUKC,Curveball,52.9,4.5
 Johan Oviedo,Oviedo, Johan,670912,PIT,R,78.4,105,980,CUKC,Curveball,49.7,10.8
 Garrett Hill,Hill, Garrett,682051,DET,R,77.1,105,1019,CUKC,Curveball,58.2,10.0
 Bryan Abreu,Abreu, Bryan,650556,HOU,R,84.5,105,1019,CUKC,Curveball,46.2,11.3
 Matt Manning,Manning, Matt,666159,DET,R,79.7,104,990,CUKC,Curveball,54.0,8.9
 Bailey Ober,Ober, Bailey,641927,MIN,R,76.7,102,854,CUKC,Curveball,57.2,9.5
 Trent Thornton,Thornton, Trent,663423,TOR,R,79.7,101,664,CUKC,Curveball,59.4,8.4
 Liam Hendriks,Hendriks, Liam,521230,CWS,R,85.8,100,948,CUKC,Curveball,47.6,3.2
 Ryan Helsley,Helsley, Ryan,664854,STL,R,80.7,99,962,CUKC,Curveball,53.7,6.7
