name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Luis Cessa,93.3,16.8,7.4,93.6,20.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,82.8,44.2,5.6,87.8,29.6,11.5,3
 Trevor Gott,95.2,15.1,8.4,95.1,21.8,16.5,91.5,21.1,0.5,82.7,49.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0
 Nabil Crismatt,90.5,19.3,7.4,90.0,25.5,15.8,0.0,0.0,0.0,73.2,65.2,13.4,0.0,0.0,0.0,82.7,38.8,13.1,6
 Mark Leiter Jr.,91.1,16.5,5.4,90.9,20.6,12.7,87.3,29.9,3.1,73.2,68.6,7.6,79.4,43.1,13.5,84.2,34.0,6.4,2
 Edward Cabrera,96.0,13.8,9.8,95.8,17.2,15.5,0.0,0.0,0.0,83.8,44.8,9.0,86.8,33.8,4.4,92.5,23.9,16.1,2
 Brad Hand,92.6,17.1,10.3,92.4,21.8,17.1,0.0,0.0,0.0,0.0,0.0,0.0,79.3,47.9,16.4,0.0,0.0,0.0,7
 Jaime Barría,92.0,15.8,5.8,91.7,17.1,11.4,0.0,0.0,0.0,0.0,0.0,0.0,85.3,32.0,4.0,85.0,27.9,13.8,3
 Martín Pérez,92.7,17.4,10.9,92.6,21.8,16.4,89.8,21.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,84.4,29.6,14.2,3
 Ryan Pressly,94.5,12.7,3.2,0.0,0.0,0.0,0.0,0.0,0.0,81.0,56.2,14.8,89.7,31.0,5.1,0.0,0.0,0.0,8
 Justin Dunn,92.2,15.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,79.8,43.3,14.8,83.4,40.8,6.5,0.0,0.0,0.0,8
 Dylan Floro,92.4,17.6,10.4,92.6,23.2,17.3,0.0,0.0,0.0,0.0,0.0,0.0,84.1,34.9,2.0,85.2,35.7,17.0,3
 J.B. Wendelken,95.0,16.0,3.2,94.4,21.8,16.3,0.0,0.0,0.0,0.0,0.0,0.0,85.9,38.8,6.8,85.5,32.6,15.4,3
 Connor Brogdon,95.1,13.9,10.8,0.0,0.0,0.0,88.3,23.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,83.8,32.1,17.1,0
 Joel Kuhnel,96.2,17.1,7.0,96.1,21.4,15.9,0.0,0.0,0.0,0.0,0.0,0.0,86.8,35.4,4.4,90.2,28.6,11.6,3
 Yunior Marte,97.8,14.5,12.2,96.9,21.4,17.7,0.0,0.0,0.0,0.0,0.0,0.0,86.0,35.9,4.3,0.0,0.0,0.0,7
 Matthew Liberatore,93.7,14.7,6.9,92.8,18.7,13.1,0.0,0.0,0.0,74.3,67.2,11.6,86.0,34.9,4.0,85.9,28.2,12.8,2
 Wil Crowe,95.1,13.6,2.5,94.4,17.8,12.1,0.0,0.0,0.0,0.0,0.0,0.0,87.6,35.3,6.0,85.9,33.0,10.2,3
 Kirk McCarty,92.5,13.6,7.1,0.0,0.0,0.0,88.5,25.8,2.9,77.1,54.5,9.1,0.0,0.0,0.0,84.7,25.0,12.5,0
